final_filename,source,owner,rights_evidence,allowed_use,width,height,transformations,alt_text_decision,reviewer,review_date
lib/art/gathering-line.ts,original repository artwork,The Lion Company,created as original semantic path data in this implementation,website brand motif,240,1600,none,decorative inline SVG with empty alternative text,Codex provenance review,2026-07-11
public/images/teachings/when-gods-will-doesnt-go-your-way.jpg,https://i.ytimg.com/vi/TOj6tefx3rI/maxresdefault.jpg,The Lion Company,public ministry-owned YouTube thumbnail for video TOj6tefx3rI on the verified @TheLionCompany channel,teaching card and pre-play facade identification of the corresponding ministry video,1280,720,none,descriptive alt text naming the teaching title,Codex provenance review,2026-07-11
public/images/teachings/confessions-of-a-truth-teller.jpg,https://i.ytimg.com/vi/x8s5DPF68kQ/maxresdefault.jpg,The Lion Company,public ministry-owned YouTube thumbnail for video x8s5DPF68kQ on the verified @TheLionCompany channel,teaching card and pre-play facade identification of the corresponding ministry video,1280,720,none,descriptive alt text naming the teaching title,Codex provenance review,2026-07-11
public/images/teachings/miracle-or-madness.jpg,https://i.ytimg.com/vi/Z0AtNFd13-A/maxresdefault.jpg,The Lion Company,public ministry-owned YouTube thumbnail for video Z0AtNFd13-A on the verified @TheLionCompany channel,teaching card and pre-play facade identification of the corresponding ministry video,1280,720,none,descriptive alt text naming the teaching title,Codex provenance review,2026-07-11
public/images/teachings/unlocking-the-dream-realm.jpg,https://i.ytimg.com/vi/gfzoFvDlWTc/maxresdefault.jpg,The Lion Company,public ministry-owned YouTube thumbnail for video gfzoFvDlWTc on the verified @TheLionCompany channel,teaching card and pre-play facade identification of the corresponding ministry video,1280,720,none,descriptive alt text naming the teaching title,Codex provenance review,2026-07-11
public/images/teachings/heart-over-hammer.jpg,https://i.ytimg.com/vi/zP4ZiKek3Lg/maxresdefault.jpg,The Lion Company,public ministry-owned YouTube thumbnail for video zP4ZiKek3Lg on the verified @TheLionCompany channel,teaching card and pre-play facade identification of the corresponding ministry video,1280,720,none,descriptive alt text naming the teaching title,Codex provenance review,2026-07-11
public/images/teachings/fathers-of-faith-volume-four.jpg,https://i.ytimg.com/vi/M1tQvPOg3vk/maxresdefault.jpg,The Lion Company,public ministry-owned YouTube thumbnail for video M1tQvPOg3vk on the verified @TheLionCompany channel,teaching card and pre-play facade identification of the corresponding ministry video,1280,720,none,descriptive alt text naming the teaching title,Codex provenance review,2026-07-11
public/images/teachings/mothers.jpg,https://i.ytimg.com/vi/p3UUJ5f6kEM/maxresdefault.jpg,The Lion Company,public ministry-owned YouTube thumbnail for video p3UUJ5f6kEM on the verified @TheLionCompany channel,teaching card and pre-play facade identification of the corresponding ministry video,1280,720,none,descriptive alt text naming the teaching title,Codex provenance review,2026-07-11
public/images/teachings/family-equals-reform.jpg,https://i.ytimg.com/vi/L2HBzHQYrt8/maxresdefault.jpg,The Lion Company,public ministry-owned YouTube thumbnail for video L2HBzHQYrt8 on the verified @TheLionCompany channel,teaching card and pre-play facade identification of the corresponding ministry video,1280,720,none,descriptive alt text naming the teaching title,Codex provenance review,2026-07-11
public/images/teachings/jesus-stories-episode-one.jpg,https://i.ytimg.com/vi/goD2b5TgBtE/maxresdefault.jpg,The Lion Company,public ministry-owned YouTube thumbnail for video goD2b5TgBtE on the verified @TheLionCompany channel,teaching card and pre-play facade identification of the corresponding ministry video,1280,720,none,descriptive alt text naming the teaching title,Codex provenance review,2026-07-11
